,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-08-17,0.0,0.0,0.0,0.0,331752233,11953064,327352565,1288819018,69320660,65506352,0.0,34722466.0,0.0,0.0,0.0,0.0,450201791.0,38040184.0,4156520.0,0.0,30785411.0
2024-08-18,0.0,0.0,0.0,0.0,311411150,18332381,335303108,1285981736,70951988,65508124,0.0,34948644.0,0.0,0.0,0.0,0.0,448239711.0,38169964.0,4157966.0,0.0,31859060.0
2024-08-19,0.0,0.0,0.0,0.0,342080908,11989949,339716724,1226688395,70280446,65647749,0.0,34943321.0,0.0,0.0,0.0,0.0,375130466.0,37865858.0,4158276.0,0.0,32010249.0
2024-08-20,0.0,0.0,0.0,0.0,318835313,12160650,340534778,1192496208,68657040,64727508,0.0,37043079.0,0.0,0.0,0.0,0.0,376105350.0,37704805.0,4158007.0,0.0,32752006.0
2024-08-21,0.0,0.0,0.0,0.0,290983192,12879791,355589646,1180910918,72590234,61109013,0.0,37166529.0,0.0,0.0,0.0,0.0,374076843.0,37667816.0,4146869.0,0.0,37340975.0
2024-08-22,0.0,0.0,0.0,0.0,280968971,20816083,349943541,1178526663,73460428,63297528,0.0,36810961.0,0.0,0.0,0.0,0.0,374983488.0,37669545.0,4156846.0,0.0,38891040.0
2024-08-23,0.0,0.0,0.0,0.0,265626764,21515335,340214578,1168011398,75129745,63699150,0.0,36585837.0,0.0,0.0,0.0,0.0,375484251.0,37645498.0,4213976.0,0.0,38835243.0
2024-08-24,0.0,0.0,0.0,0.0,236849409,18960229,328649137,1164891597,75260584,62671749,0.0,36614580.0,0.0,0.0,0.0,0.0,374574916.0,37667564.0,4202686.0,0.0,39867221.0
2024-08-25,0.0,0.0,0.0,0.0,235067069,18818527,299150474,1158445273,71920425,62681398,0.0,37906549.0,0.0,0.0,0.0,0.0,375044760.0,37672163.0,4208284.0,0.0,40565574.0
2024-08-26,0.0,0.0,0.0,0.0,227650411,20930726,299012395,1155718839,73762697,65529203,0.0,38262162.0,0.0,0.0,0.0,0.0,349905422.0,39019452.0,4646591.0,0.0,45690927.0
2024-08-27,0.0,0.0,0.0,0.0,252831427,26910485,320896710,1157130014,80570322,64556856,0.0,35950440.0,0.0,0.0,0.0,0.0,350013240.0,38006571.0,4707575.0,0.0,45195619.0
2024-08-28,0.0,0.0,0.0,0.0,277657936,21289467,331735895,1155199626,80919146,64629772,0.0,35783749.0,0.0,0.0,0.0,0.0,348882334.0,35680603.0,4708173.0,0.0,45121799.0
2024-08-29,0.0,0.0,0.0,0.0,284686604,20538155,332070978,1152927020,80943443,64951704,0.0,35859763.0,0.0,0.0,0.0,0.0,350083022.0,34517015.0,4730659.0,0.0,43675193.0
2024-08-30,0.0,0.0,0.0,0.0,328253571,12385480,361579494,1146745206,80513078,64560600,0.0,42060124.0,0.0,0.0,0.0,0.0,350172797.0,34494940.0,4837180.0,0.0,47104242.0
2024-08-31,0.0,0.0,0.0,0.0,290098277,13375021,370959738,1146342571,79781431,64873531,0.0,44391528.0,0.0,0.0,0.0,0.0,350139853.0,34485806.0,4864102.0,0.0,51319380.0
2024-09-01,0.0,0.0,0.0,0.0,289950990,13392608,355135213,1141984542,79682908,65206788,0.0,44044760.0,0.0,0.0,0.0,0.0,347033215.0,34472309.0,4817018.0,0.0,52370838.0
2024-09-02,0.0,0.0,0.0,0.0,348989684,16450511,364925277,1132283493,79866059,64703772,0.0,44365828.0,0.0,0.0,0.0,0.0,350025545.0,35507049.0,4862645.0,0.0,52803099.0
2024-09-03,0.0,0.0,0.0,0.0,338869481,20970953,398115521,1127144862,79499372,65338483,0.0,38384909.0,0.0,0.0,0.0,0.0,350026642.0,35482259.0,4862928.0,0.0,58585699.0
2024-09-04,0.0,0.0,0.0,0.0,336013260,27495752,399254845,1139563204,79915060,70128335,0.0,38021047.0,0.0,0.0,0.0,0.0,350265316.0,34109552.0,4863464.0,0.0,57562009.0
2024-09-05,0.0,0.0,0.0,0.0,328192056,35101217,379160524,1137934405,78847737,71048414,0.0,38284609.0,0.0,0.0,0.0,0.0,349985494.0,35231490.0,4842998.0,0.0,56640950.0
2024-09-06,0.0,0.0,0.0,0.0,423738515,24431260,382728991,1139689077,78442975,71964847,0.0,38981928.0,0.0,0.0,0.0,0.0,350123652.0,35979962.0,4806956.0,0.0,52010168.0
2024-09-07,0.0,0.0,0.0,0.0,362588120,24144318,403204344,1138979520,78611820,74005318,0.0,38492519.0,0.0,0.0,0.0,0.0,351042806.0,35585675.0,4799724.0,0.0,51591606.0
2024-09-08,0.0,0.0,0.0,0.0,338105191,23648840,429139029,1137179576,77579687,73613606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,353752657,28767136,430239673,1138526715,78454262,74917427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,0.0,353534034,28736916,456326197,1139141866,79343231,75605880,0.0,38542023.0,0.0,0.0,0.0,0.0,349162549.0,35722546.0,4775915.0,0.0,52127293.0
2024-09-11,0.0,0.0,0.0,0.0,346873926,30427606,470963178,1138381205,75450500,74959524,0.0,35434362.0,0.0,0.0,0.0,0.0,349405732.0,38719391.0,4779801.0,0.0,51514188.0
2024-09-12,0.0,0.0,0.0,0.0,316182206,28580938,491122517,1140579754,75844806,75179634,0.0,36325607.0,0.0,0.0,0.0,0.0,349871982.0,38708279.0,4799660.0,0.0,51514990.0
2024-09-13,0.0,0.0,0.0,0.0,296151849,29419505,493435490,1139360202,77281897,76135885,0.0,35702004.0,0.0,0.0,0.0,0.0,353916134.0,39170322.0,4789057.0,0.0,50464784.0
2024-09-14,0.0,0.0,0.0,0.0,261600409,31546995,501427280,1137296556,78754974,74866801,0.0,36415900.0,0.0,0.0,0.0,0.0,351082529.0,39201025.0,4949690.0,0.0,51574235.0
2024-09-15,0.0,0.0,0.0,0.0,269052657,34542886,468698685,1137245390,81880489,75430247,0.0,35724155.0,0.0,0.0,0.0,0.0,350290771.0,39192056.0,5021491.0,0.0,49930936.0
2024-09-16,0.0,0.0,0.0,0.0,365708368,37341024,346904143,1136847247,81785674,74502504,0.0,35706577.0,0.0,0.0,0.0,0.0,351607349.0,39176402.0,5010103.0,0.0,51356574.0
2024-09-17,0.0,0.0,0.0,0.0,300815507,36557141,448137759,1135122585,70099798,74736138,0.0,36198366.0,0.0,0.0,0.0,0.0,349812568.0,39087149.0,5003920.0,0.0,50758840.0
2024-09-18,0.0,0.0,0.0,0.0,311367303,37382748,428403359,1132152643,69789477,73302174,0.0,32222445.0,0.0,0.0,0.0,0.0,350559338.0,39502615.0,5010695.0,0.0,52182219.0
2024-09-19,0.0,0.0,0.0,0.0,251252099,36420130,422177651,1132139533,69975069,72859233,0.0,35087208.0,0.0,0.0,0.0,0.0,350593567.0,42833511.0,5013522.0,0.0,52384361.0
2024-09-20,0.0,0.0,0.0,0.0,217041759,38393107,415200424,1128305648,70274721,72861959,0.0,32808249.0,0.0,0.0,0.0,0.0,325039429.0,42886738.0,5014637.0,0.0,53215091.0
2024-09-21,0.0,0.0,0.0,0.0,170923101,37032404,409333986,1128895473,70654239,73889284,0.0,32848070.0,0.0,0.0,0.0,0.0,325184385.0,42877431.0,4985317.0,0.0,53899493.0
2024-09-22,0.0,0.0,0.0,0.0,174123228,32720180,422872989,1132973015,71955647,73696247,0.0,36920688.0,0.0,0.0,0.0,0.0,323538354.0,45324559.0,5000326.0,0.0,55791856.0
2024-09-23,0.0,0.0,0.0,0.0,192334315,33813496,409199796,1126995419,71366491,73419552,0.0,37925884.0,0.0,0.0,0.0,0.0,324991233.0,44768365.0,4996914.0,0.0,54720045.0
2024-09-24,0.0,0.0,0.0,0.0,161173522,34466858,387825248,1119749324,69591171,75155456,0.0,34924208.0,0.0,0.0,0.0,0.0,325282227.0,44401034.0,5002810.0,0.0,51631821.0
2024-09-25,0.0,0.0,0.0,0.0,210972055,34281469,350845273,1118050790,70290989,77889721,0.0,35028735.0,0.0,0.0,0.0,0.0,326259088.0,44513722.0,5009270.0,0.0,53820323.0
2024-09-26,0.0,0.0,0.0,0.0,138866082,26713863,358145207,1043672111,77136313,62065644,0.0,35604063.0,0.0,0.0,0.0,0.0,325502714.0,44514842.0,5031030.0,0.0,57021055.0
2024-09-27,0.0,0.0,0.0,0.0,140637446,25120372,300622589,1042394836,72439023,78805488,0.0,39005990.0,0.0,0.0,0.0,0.0,325572496.0,48473893.0,4971637.0,0.0,57044968.0
2024-09-28,0.0,0.0,0.0,0.0,139291702,26293952,300563826,1043294056,73806970,81269644,0.0,38386007.0,0.0,0.0,0.0,0.0,325649114.0,48458476.0,5222263.0,0.0,57921723.0
2024-09-29,0.0,0.0,0.0,0.0,138597991,25508279,254473268,1045172992,73815005,80944486,0.0,38565686.0,0.0,0.0,0.0,0.0,325683793.0,48451395.0,5215699.0,0.0,56805622.0
